Datetime,Open,High,Low,Close,Volume
2013-02-28,89.67,89.81,89.029999,89.55,14552000
2013-02-27,88.5,89.65,88.31,89.53,11195200
2013-02-26,88.5,88.98,87.76,88.51,15073200
2013-02-25,89.88,90.19,87.7,87.7,15302900
2013-02-22,89.019997,89.28,88.4,89.2,10260200
2013-02-21,88.79,89.019997,88.36,88.59,10939800
2013-02-20,89.14,89.82,88.9,88.97,13936400
2013-02-19,88.54,89.41,88.38,89.32,12158900
2013-02-15,88.57,88.61,87.8,88.36,15696900
2013-02-14,88.34,88.81,88.059998,88.52,13238900
2013-02-13,88.46,88.77,88.24,88.67,8940300
2013-02-12,88.25,88.62,87.92,88.46,9752100
2013-02-11,88.35,88.51,87.97,88.28,8764700
2013-02-08,88.5,88.8,88.11,88.61,11412300
2013-02-07,89.21,89.22,87.61,88.25,13463300
2013-02-06,89.37,89.89,89.16,89.79,11768700
2013-02-05,89.88,90.19,89.42,89.74,11679700
2013-02-04,89.41,89.62,88.84,89.15,13347300
2013-02-01,90.44,90.5,89.36,90.040001,15699200
2013-01-31,90.69,91.21,89.74,89.97,15991500
2013-01-30,91.17,91.72,90.38,90.67,15645400
2013-01-29,91.21,91.93,91.2,91.76,11700600
2013-01-28,91.67,91.67,90.77,91.11,11617500
2013-01-25,91.57,91.8,91.13,91.73,11090600
2013-01-24,90.88,91.72,90.75,91.35,11100000
2013-01-23,90.5,90.88,90.42,90.7,10906800
2013-01-22,90.27,90.94,90.21,90.92,11897500
2013-01-18,90.089996,90.83,89.83,90.8,17196000
2013-01-17,89.76,90.94,89.6,90.2,13400300
2013-01-16,89.16,89.48,89.07,89.47,9645000
2013-01-15,89.18,89.61,89.0,89.53,9195400
2013-01-14,89.46,89.75,89.32,89.58,9606700
2013-01-11,88.97,89.71,88.86,89.61,11645600
2013-01-10,88.75,89.48,88.37,89.099998,13099600
2013-01-09,88.4,88.54,87.75,88.14,10892200
2013-01-08,87.82,88.48,87.29,88.48,14226400
2013-01-07,88.31,88.49,87.57,87.93,11799800
2013-01-04,88.5,89.089996,88.37,88.96,11427900
2013-01-03,88.46,88.89,88.16,88.55,13268200
2013-01-02,87.79,88.72,87.24,88.71,16143700
2012-12-31,85.040001,86.66,84.7,86.55,19810800
2012-12-28,86.099998,86.29,85.07,85.099998,13358700
2012-12-27,87.050003,87.24,85.75,86.86,14258500
2012-12-26,87.21,87.68,86.57,87.07,10737800
2012-12-24,87.13,87.32,86.8,86.92,6385200
2012-12-21,87.66,88.6,87.010002,87.23,33057000
2012-12-20,88.38,88.94,87.98,88.89,15789000
2012-12-19,89.54,89.61,88.38,88.44,15092500
2012-12-18,88.75,89.74,88.56,89.56,15396600
2012-12-17,88.36,88.94,88.099998,88.87,15672500
2012-12-14,88.0,88.45,87.92,88.080002,13363600
2012-12-13,89.16,89.45,88.27,88.58,12290300
2012-12-12,89.089996,90.37,88.91,89.45,14729500
2012-12-11,88.61,89.49,88.4,88.99,12634600
2012-12-10,88.58,88.95,88.24,88.41,11549400
2012-12-07,88.17,88.64,87.77,88.6,10603100
2012-12-06,87.76,88.059998,87.24,88.0,12077000
2012-12-05,87.27,88.27,87.099998,87.73,12717800
